key,en,ja,ko,zh-CN
settings.segmentationLabelsHelp,Comma-separated labels sent to Grounding DINO-B. Leave blank to use the selected density's built-in vocabulary.,Grounding DINO-B に送るカンマ区切りのラベルです。空欄では選択した密度の内蔵語彙を使用します。,Grounding DINO-B에 전달할 쉼표로 구분된 라벨입니다. 비워 두면 선택한 밀도의 기본 어휘를 사용합니다.,发送给 Grounding DINO-B 的逗号分隔标签。留空则使用所选密度的内置词汇。
settings.vlmVocabularyProposer,Use VLM vocabulary proposer,VLM 語彙提案を使用,VLM 어휘 제안 사용,使用 VLM 词汇建议器
settings.vlmVocabularyProposerHelp,"Off by default. When enabled, Qwen3-VL proposes object labels before detection; manual vocabulary takes precedence. Requires the optional Qwen3-VL weights.",既定ではオフです。有効にすると Qwen3-VL が検出前にオブジェクトラベルを提案し、手動語彙が優先されます。オプションの Qwen3-VL ウェイトが必要です。,기본적으로 꺼져 있습니다. 활성화하면 Qwen3-VL이 감지 전에 오브젝트 라벨을 제안하며 수동 어휘가 우선합니다. 선택적 Qwen3-VL 가중치가 필요합니다.,默认关闭。启用后 Qwen3-VL 会在检测前建议对象标签；手动词汇优先。需要安装可选的 Qwen3-VL 权重。
settings.defaultRefinement,Default background method,既定の背景方式,기본 배경 방식,默认背景方法
settings.defaultRefinementHelp,This is selected for each new scene and can still be changed before building.,新しいシーンで選択されますが、構築前に変更できます。,새 장면마다 선택되며 생성 전에 변경할 수 있습니다.,每个新场景都会选择此方法，也可在构建前更改。
settings.inpaintingSteps,Inpainting steps,インペイントステップ数,인페인팅 단계,修复步数
settings.inpaintingStepsHelp,PowerPaint uses this denoising step count; higher values take longer. Big LaMa ignores it.,PowerPaint はこのノイズ除去回数を使用します。多いほど時間がかかります。Big LaMa では無視されます。,PowerPaint는 이 디노이징 단계 수를 사용하며 높을수록 오래 걸립니다. Big LaMa에서는 무시됩니다.,PowerPaint 使用此去噪步数；数值越高耗时越长。Big LaMa 不使用此设置。
settings.appearance,Appearance,外観,모양,外观
settings.appearanceDetail,Motion and accessibility,モーションとアクセシビリティ,모션 및 접근성,动效和辅助功能
settings.appearanceTitle,Motion and accessibility,モーションとアクセシビリティ,모션 및 접근성,动效和辅助功能
settings.appearanceDescription,Control animation behavior without changing the rendered scene.,レンダリングされるシーンを変えずにアニメーションを制御します。,렌더링된 장면은 바꾸지 않고 애니메이션을 제어합니다.,控制动画行为而不改变渲染的场景。
settings.reduceMotion,Reduce motion,モーションを減らす,모션 줄이기,减少动效
settings.reduceMotionHelp,Disables the automatic camera preview and respects the system accessibility preference.,自動カメラプレビューを無効にし、システムのアクセシビリティ設定に従います。,자동 카메라 미리보기를 끄고 시스템 접근성 설정을 따릅니다.,禁用自动相机预览并遵循系统辅助功能偏好。
settings.camera,Camera,カメラ,카메라,相机
settings.cameraDetail,Defaults and motion range,既定値とモーション範囲,기본값 및 모션 범위,默认值和运动范围
settings.cameraTitle,Camera defaults,カメラの既定値,카메라 기본값,相机默认值
settings.cameraDescription,These values are used when a new scene is opened or reset.,新しいシーンを開いたときやリセットしたときに使用します。,새 장면을 열거나 초기화할 때 사용됩니다.,打开或重置新场景时使用这些值。
settings.defaultZoom,Default zoom,既定のズーム,기본 확대/축소,默认缩放
settings.defaultZoomHelp,Initial camera zoom from 1.00 to 1.35.,初期カメラズームは 1.00 から 1.35 です。,초기 카메라 확대/축소 범위는 1.00에서 1.35입니다.,初始相机缩放范围为 1.00 至 1.35。
settings.defaultStrength,Default strength,既定の強度,기본 강도,默认强度
settings.defaultStrengthHelp,Initial parallax strength from 0 to 100.,初期パララックス強度は 0 から 100 です。,초기 패럴랙스 강도는 0에서 100입니다.,初始视差强度范围为 0 至 100。
settings.motionSpeed,Preview speed,プレビュー速度,미리보기 속도,预览速度
settings.motionSpeedHelp,Speed multiplier for automatic camera motion.,自動カメラモーションの速度倍率。,자동 카메라 모션의 속도 배율입니다.,自动相机运动的速度倍数。
settings.horizontalAmount,Horizontal amount,水平振幅,가로 범위,水平幅度
settings.verticalAmount,Vertical amount,垂直振幅,세로 범위,垂直幅度
settings.advanced,Advanced,詳細設定,고급,高级
settings.advancedDetail,Technical runtime values,技術的な実行時設定,기술 런타임 값,技术运行时值
settings.advancedTitle,Runtime tuning,実行時の調整,런타임 조정,运行时调节
settings.advancedDescription,These values are persisted to the application settings file and affect local processing behavior.,これらの値はアプリケーション設定ファイルに保存され、ローカル処理に影響します。,이 값은 애플리케이션 설정 파일에 저장되며 로컬 처리 동작에 영향을 줍니다.,这些值会保存到应用设置文件并影响本地处理行为。
settings.showServiceConsole,Show service console,サービスコンソールを表示,서비스 콘솔 표시,显示服务控制台
settings.showServiceConsoleHelp,Show the local service console window while it starts and runs. Takes effect on the next launch.,ローカルサービスの起動中と実行中にコンソールウィンドウを表示します。次回の起動から有効です。,로컬 서비스가 시작되고 실행되는 동안 콘솔 창을 표시합니다. 다음 실행부터 적용됩니다.,在本地服务启动和运行期间显示控制台窗口。下次启动时生效。
settings.pollInterval,Job polling interval,ジョブのポーリング間隔,작업 폴링 간격,任务轮询间隔
settings.pollIntervalHelp,Milliseconds between local worker progress checks. Lower values update sooner but use more requests.,ローカルワーカーの進捗確認間隔（ミリ秒）。短いほど更新は速くなりますがリクエストが増えます。,로컬 작업자 진행률 확인 간격(밀리초)입니다. 낮을수록 빠르게 갱신되지만 요청이 늘어납니다.,本地工作进度检查之间的毫秒数。较低的值更新更快但请求更多。
settings.advancedNoticeTitle,Use with care,注意して使用,주의해서 사용,请谨慎使用
settings.advancedNotice,Values are clamped to safe ranges and take effect immediately for new operations.,値は安全な範囲に制限され、新しい操作から直ちに反映されます。,값은 안전한 범위로 제한되며 새 작업부터 즉시 적용됩니다.,值会限制在安全范围内，并立即对新操作生效。
settings.cancel,Cancel,キャンセル,취소,取消
settings.save,Save,保存,저장,保存
settings.saving,Saving...,保存中...,저장 중...,保存中...
settings.saveFailed,Settings could not be saved.,設定を保存できませんでした。,설정을 저장할 수 없습니다.,无法保存设置。
settings.savedAutomatically,Saved to the application settings file,アプリケーション設定ファイルに保存済み,애플리케이션 설정 파일에 저장됨,已保存到应用设置文件
startup.title,Local AI startup,ローカル AI の起動,로컬 AI 시작,本地 AI 启动
startup.connecting,Starting local service,ローカルサービスを起動中,로컬 서비스 시작 중,正在启动本地服务
startup.checking,Checking local AI,ローカル AI を確認中,로컬 AI 확인 중,正在检查本地 AI
startup.blocked,Local AI is not ready,ローカル AI の準備ができていません,로컬 AI가 준비되지 않음,本地 AI 尚未就绪
startup.starting,Preparing local AI,ローカル AI を準備中,로컬 AI 준비 중,正在准备本地 AI
startup.downloading,Downloading local AI models,ローカル AI モデルをダウンロード中,로컬 AI 모델 다운로드 중,正在下载本地 AI 模型
startup.initializing,Initializing local AI,ローカル AI を初期化中,로컬 AI 초기화 중,正在初始化本地 AI
startup.startingState,Starting,起動中,시작 중,启动中
startup.downloadingState,Downloading,ダウンロード中,다운로드 중,下载中
startup.initializingState,Initializing,初期化中,초기화 중,初始化中
startup.connectingDetail,Waiting for the local service to respond.,ローカルサービスの応答を待っています。,로컬 서비스의 응답을 기다리는 중입니다.,正在等待本地服务响应。
startup.checkingDetail,Checking local AI providers: {ready} of {total} ready.,ローカル AI プロバイダーを確認中: {total} 個中 {ready} 個が準備完了です。,로컬 AI 제공업체 확인 중: {total}개 중 {ready}개 준비 완료,正在检查本地 AI 提供程序：{total} 个中 {ready} 个已就绪。
startup.startingDetail,Preparing the local AI runtime. Keep this window open.,ローカル AI ランタイムを準備中です。このウィンドウを開いたままにしてください。,로컬 AI 런타임을 준비하는 중입니다. 이 창을 열어 두세요.,正在准备本地 AI 运行时。请保持此窗口打开。
startup.downloadingDetail,Downloading required local model weights. This can take several minutes on the first launch.,必要なローカルモデルの重みをダウンロード中です。初回起動では数分かかることがあります。,필수 로컬 모델 가중치를 다운로드하는 중입니다. 첫 실행에는 몇 분이 걸릴 수 있습니다.,正在下载必需的本地模型权重。首次启动可能需要几分钟。
startup.initializingDetail,Validating and initializing local AI models.,ローカル AI モデルを検証して初期化中です。,로컬 AI 모델을 검증하고 초기화하는 중입니다.,正在验证并初始化本地 AI 模型。
startup.blockedDetail,The editor will unlock when the required local AI providers are ready.,必要なローカル AI プロバイダーの準備が完了するとエディターが使用できます。,필수 로컬 AI 제공업체가 준비되면 편집기가 활성화됩니다.,所需的本地 AI 提供程序就绪后，编辑器将解锁。
startup.serviceUnavailable,The local service is unavailable. Retrying...,ローカルサービスを利用できません。再試行中...,로컬 서비스를 사용할 수 없습니다. 다시 시도하는 중...,本地服务不可用。正在重试...
startup.required,Required AI providers,必要な AI プロバイダー,필수 AI 제공업체,必需的 AI 提供程序
startup.ready,Ready,準備完了,준비 완료,已就绪
startup.missing,Unavailable,利用不可,사용할 수 없음,不可用
startup.needsSetup,Needs setup,セットアップが必要,설정 필요,需要设置
startup.pending,Waiting,待機中,대기 중,等待中
startup.waiting,Waiting for service...,サービスを待機中...,서비스 대기 중...,等待服务...
startup.provider.runtime,Local AI runtime,ローカル AI ランタイム,로컬 AI 런타임,本地 AI 运行时
startup.provider.segmentation,Segmentation models,セグメンテーションモデル,세그먼테이션 모델,分割模型
startup.provider.matting,Matting model,マッティングモデル,매팅 모델,抠图模型
startup.provider.depth,Depth model,深度モデル,깊이 모델,深度模型
startup.provider.inpainting,Inpainting model,インペイントモデル,인페인팅 모델,修复模型
about.close,Close,閉じる,닫기,关闭
brand.tagline,Local depth studio,ローカル深度スタジオ,로컬 깊이 스튜디오,本地景深工作室
file.importing,Importing...,読み込み中...,가져오는 중...,正在导入...
file.importProject,Import project,プロジェクトを読み込む,프로젝트 가져오기,导入项目
file.resetProject,Reset,リセット,초기화,重置
file.resetProjectTitle,Discard this project and start from a new image,このプロジェクトを破棄して新しい画像から始めます,이 프로젝트를 버리고 새 이미지로 시작합니다,放弃此项目并从新图像重新开始
file.packing,Packing...,パッケージ作成中...,패키징 중...,正在打包...
file.projectFile,Export,エクスポート,내보내기,导出
file.projectFileTitle,Export the editable project package,編集可能なプロジェクトパッケージを書き出します,편집 가능한 프로젝트 패키지를 내보냅니다,导出可编辑的项目包
file.projectFileInput,Choose project file,プロジェクトファイルを選択,프로젝트 파일 선택,选择项目文件
file.rendering,Rendering...,レンダリング中...,렌더링 중...,正在渲染...
file.demoVideo,Demo,デモ,데모,演示
file.demoVideoTitle,Render a parallax demo video,パララックスのデモ動画をレンダリングします,패럴랙스 데모 영상을 렌더링합니다,渲染视差演示视频
file.pngTitle,Save the current frame as a PNG image,現在のフレームを PNG 画像として保存します,현재 프레임을 PNG 이미지로 저장합니다,将当前帧保存为 PNG 图像
file.saving,Saving...,保存中...,저장 중...,正在保存...
file.png,PNG,PNG,PNG,PNG
engine.localAI,Local AI,ローカル AI,로컬 AI,本地 AI
engine.preview,Preview engine,プレビューエンジン,미리보기 엔진,预览引擎
source.title,Source,ソース,소스,源图像
source.headlineFirst,One image.,1 枚の画像から、,이미지 한 장으로,一张图像。
source.headlineSecond,A scene with depth.,奥行きのあるシーンへ。,깊이 있는 장면을 만듭니다.,一个有深度场景。
source.description,"Separate objects, rebuild what sits behind them, then direct a virtual camera.",オブジェクトを分離し、隠れた部分を再構築して、仮想カメラで演出します。,오브젝트를 분리하고 가려진 부분을 재구성한 뒤 가상 카메라로 연출합니다.,分离对象，重建被遮挡的区域，再通过虚拟相机进行构图。
source.openImage,Open image,画像を開く,이미지 열기,打开图像
source.imageFileInput,Choose image file,画像ファイルを選択,이미지 파일 선택,选择图像文件
source.sample,Use sample scene,サンプルシーンを使用,샘플 장면 사용,使用示例场景
pipeline.title,Pipeline,処理フロー,작업 흐름,流程
pipeline.import,Import image,画像を読み込む,이미지 가져오기,导入图像
pipeline.segment,Segment objects,オブジェクトを分割,오브젝트 분할,分割对象
pipeline.refine,Refine + confirm,調整して確定,다듬기 및 확인,优化并确认
pipeline.build,Build scene,シーンを構築,장면 구성,构建场景
privacy.title,Local only,ローカル処理のみ,로컬 전용,仅本地处理
privacy.detail,No image upload or cloud inference,画像のアップロードやクラウド推論は行いません,이미지 업로드 및 클라우드 추론 없음,不会上传图像，也不使用云端推理
processing.local,Local processing,ローカル処理中,로컬 처리 중,本地处理中
processing.cancel,Cancel processing,処理をキャンセル,처리 취소,取消处理
processing.cancelling,Cancelling...,キャンセル中...,취소 중...,正在取消...
processing.cancelled,Processing cancelled,処理をキャンセルしました,처리가 취소되었습니다,处理已取消
composition.title,Composition,コンポジション,컴포지션,合成画面
phase.waiting,Waiting for image,画像を待機中,이미지 대기 중,等待图像
phase.segmenting,Segmenting rough object masks,オブジェクトのラフマスクを分割中,오브젝트 러프 마스크 분할 중,正在分割粗略对象蒙版
phase.reviewing,Review and confirm masks,マスクを確認して確定,마스크 검토 및 확인,检查并确认蒙版
phase.inpainting,Running local inpaint,ローカルでインペイント中,로컬 인페인팅 실행 중,正在本地修补
phase.ready,Scene ready,シーンの準備完了,장면 준비 완료,场景已就绪
phase.retouchReady,Retouch mask ready to rebuild,レタッチマスクの再構築準備完了,리터치 마스크 재구성 준비 완료,修补蒙版已准备好，可重新构建
mask.controls,Mask brush controls,マスクブラシのコントロール,마스크 브러시 컨트롤,蒙版画笔控件
mask.brush,Mask brush,マスクブラシ,마스크 브러시,蒙版画笔
mask.inpaintHelp,Paint pixels to fully regenerate using the entire composition as context.,コンポジション全体を参照し、完全に再生成するピクセルを塗ります。,전체 컴포지션을 컨텍스트로 사용하여 완전히 재생성할 픽셀을 칠합니다.,以完整合成画面为上下文，涂抹要完全重新生成的像素。
mask.extraRetouchHelp,Paint anything else that should be regenerated on the background plate.,背景プレートで追加生成する領域を塗ります。,배경 플레이트에서 추가로 재생성할 영역을 칠합니다.,涂抹背景底图中还需要重新生成的其他区域。
mask.extraHelp,Expands the background inpaint area.,背景のインペイント領域を広げます。,배경 인페인트 영역을 확장합니다.,扩大背景修补区域。
mask.layerHelp,Updates this foreground cutout.,この前景カットアウトを更新します。,이 전경 컷아웃을 업데이트합니다.,更新此前景剪切图。
mask.extraAreaName,Extra inpaint area,追加インペイント領域,추가 인페인트 영역,额外修补区域
mask.inpaintAreaName,{{name}} inpaint area,{{name}} のインペイント領域,{{name}} 인페인트 영역,{{name}} 修补区域
mask.brushMode,Brush mode,ブラシモード,브러시 모드,画笔模式
mask.add,Add,追加,추가,添加
mask.erase,Erase,消去,지우기,擦除
mask.size,Size,サイズ,크기,大小
mask.edgeBlur,Edge blur,境界ぼかし,가장자리 흐림,边缘模糊
mask.sizeShort,Size,サイズ,크기,大小
mask.edgeBlurShort,Blur,ぼかし,블러,模糊
mask.history,Brush history,ブラシ履歴,브러시 기록,画笔历史
mask.undo,Undo,元に戻す,실행 취소,撤销
mask.redo,Redo,やり直す,다시 실행,重做
mask.undoTitle,Undo brush stroke (Ctrl+Z),ブラシ操作を元に戻す (Ctrl+Z),브러시 작업 실행 취소 (Ctrl+Z),撤销画笔操作 (Ctrl+Z)
mask.redoTitle,Redo brush stroke (Ctrl+Shift+Z or Ctrl+Y),ブラシ操作をやり直す (Ctrl+Shift+Z または Ctrl+Y),브러시 작업 다시 실행 (Ctrl+Shift+Z 또는 Ctrl+Y),重做画笔操作 (Ctrl+Shift+Z 或 Ctrl+Y)
mask.reset,Reset,リセット,초기화,重置
mask.cancel,Cancel,キャンセル,취소,取消
mask.applyRefine,Apply + refine,適用して調整,적용 후 다듬기,应用并优化
mask.refine,Refine,調整,다듬기,优化
mask.starting,Starting...,開始中...,시작 중...,正在启动...
mask.inpaintLayer,Inpaint layer,レイヤーをインペイント,레이어 인페인트,修补图层
mask.applying,Saving...,保存中...,저장 중...,正在保存...
mask.apply,Apply mask,マスクを適用,마스크 적용,应用蒙版
empty.analyzing,Analyzing image,画像を解析中,이미지 분석 중,正在分析图像
empty.drop,Drop an image to begin,画像をドロップして開始,이미지를 놓아 시작,拖入图像以开始
empty.analyzingDetail,The local engine is building layer proposals.,ローカルエンジンがレイヤー候補を作成しています。,로컬 엔진이 레이어 제안을 만들고 있습니다.,本地引擎正在生成图层建议。
empty.formats,"PNG, JPEG or WebP - up to 40 MB",PNG、JPEG、WebP（最大 40 MB）,"PNG, JPEG 또는 WebP, 최대 40 MB",PNG、JPEG 或 WebP，最大 40 MB
build.title,Build background plate,背景プレートを構築,배경 플레이트 구성,构建背景底图
build.extraArea,Extra inpaint area,追加インペイント領域,추가 인페인트 영역,额外修补区域
build.extraAreaHelp,Brush additional background pixels to regenerate.,追加生成する背景ピクセルを塗ります。,추가로 재생성할 배경 픽셀을 칠합니다.,涂抹还要重新生成的背景像素。
build.editArea,Edit area,領域を編集,영역 편집,编辑区域
build.addArea,Add area,領域を追加,영역 추가,添加区域
build.inpainter,Local inpainter,ローカルインペインター,로컬 인페인터,本地修补器
build.lama,Big LaMa - structural fill,Big LaMa - 構造補完,Big LaMa - 구조 채우기,Big LaMa - 结构填充
build.powerpaint,PowerPaint - advanced full redraw,PowerPaint - 高度な全面再描画,PowerPaint - 고급 전체 다시 그리기,PowerPaint - 高级完整重绘
build.fullRedrawNote,Full redraw / denoise 1.00. Original masked pixels are discarded.,全面再描画 / ノイズ除去 1.00。マスク内の元ピクセルは破棄されます。,전체 다시 그리기 / 노이즈 제거 1.00. 마스크 안의 원본 픽셀은 삭제됩니다.,完整重绘 / 去噪 1.00。原蒙版内的像素将被丢弃。
build.backgroundPrompt,Background prompt (optional),背景プロンプト（任意）,배경 프롬프트(선택 사항),背景提示词（可选）
build.backgroundPromptPlaceholder,Blank uses local Qwen3-VL,空欄の場合はローカル Qwen3-VL を使用,비워 두면 로컬 Qwen3-VL 사용,留空则使用本地 Qwen3-VL
build.fullRedrawUnavailable,Full redraw unavailable: {{detail}}. Relaunch the one-click setup to resume the checkpoint download.,全面再描画を使用できません：{{detail}}。ワンクリックセットアップを再実行してチェックポイントのダウンロードを再開してください。,전체 다시 그리기를 사용할 수 없습니다: {{detail}}. 원클릭 설치를 다시 실행하여 체크포인트 다운로드를 계속하세요.,完整重绘不可用：{{detail}}。请重新运行一键安装以继续下载检查点。
build.inpaintingLocally,Inpainting locally,ローカルでインペイント中,로컬 인페인팅 중,正在本地修补
build.localDetail,The source and masks stay on this machine.,ソースとマスクはこのマシン内に保持されます。,소스와 마스크는 이 컴퓨터에만 유지됩니다.,源图像和蒙版始终保留在此设备上。
build.layerInpaint,Layer inpaint,レイヤーインペイント,레이어 인페인트,图层修补
build.layerInpaintHelp,"Select Inpaint on Background or any foreground layer, then paint over the full composition.",背景または前景レイヤーで「インペイント」を選び、コンポジション全体の上を塗ります。,배경 또는 전경 레이어에서 인페인트를 선택한 다음 전체 컴포지션 위에 칠합니다.,在背景或任一前景图层上选择“修补”，然后在完整合成画面上涂抹。
build.layerFullRedrawNote,PowerPaint full redraw / denoise 1.00. Every painted source pixel is discarded.,PowerPaint 全面再描画 / ノイズ除去 1.00。塗った元ピクセルはすべて破棄されます。,PowerPaint 전체 다시 그리기 / 노이즈 제거 1.00. 칠한 모든 원본 픽셀은 삭제됩니다.,PowerPaint 完整重绘 / 去噪 1.00。所有涂抹过的源像素都将被丢弃。
build.focusedLayer,Focused layer: {{name}},対象レイヤー：{{name}},대상 레이어: {{name}},当前图层：{{name}}
build.selectLayer,Select a scene layer,シーンレイヤーを選択,장면 레이어 선택,选择场景图层
build.undoTitle,Undo this layer's last completed inpaint (Ctrl+Z),このレイヤーで最後に完了したインペイントを元に戻す (Ctrl+Z),이 레이어에서 마지막으로 완료한 인페인트 실행 취소 (Ctrl+Z),撤销此图层上一次完成的修补 (Ctrl+Z)
build.redoTitle,Redo this layer's completed inpaint (Ctrl+Y or Ctrl+Shift+Z),このレイヤーで完了したインペイントをやり直す (Ctrl+Y または Ctrl+Shift+Z),이 레이어에서 완료한 인페인트 다시 실행 (Ctrl+Y 또는 Ctrl+Shift+Z),重做此图层已完成的修补 (Ctrl+Y 或 Ctrl+Shift+Z)
build.undoing,Undoing...,元に戻しています...,실행 취소 중...,正在撤销...
build.undoInpaint,Undo inpaint,インペイントを元に戻す,인페인트 실행 취소,撤销修补
build.redoing,Redoing...,やり直しています...,다시 실행 중...,正在重做...
build.redoInpaint,Redo inpaint,インペイントをやり直す,인페인트 다시 실행,重做修补
build.layerAnchor,Anchor {{x}} / {{y}},アンカー {{x}} / {{y}},앵커 {{x}} / {{y}},锚点 {{x}} / {{y}}
build.moveAnchor,Move anchor,アンカーを移動,앵커 이동,移动锚点
build.stopAnchor,Done moving,移動を終了,이동 완료,完成移动
build.moveAnchorTitle,Drag the focused layer on the canvas to reposition it,フォーカス中のレイヤーをキャンバス上でドラッグして位置を変えます,캔버스에서 대상 레이어를 드래그해 위치를 옮깁니다,在画布上拖动当前图层以重新定位
build.resetAnchor,Reset anchor,アンカーをリセット,앵커 초기화,重置锚点
build.resetAnchorTitle,Return the focused layer to its original position,フォーカス中のレイヤーを元の位置に戻します,대상 레이어를 원래 위치로 되돌립니다,将当前图层恢复到原始位置
build.inpaintPrompt,Inpaint prompt,インペイントプロンプト,인페인트 프롬프트,修补提示词
build.inpaintPromptPlaceholder,Blank continues the surrounding composition,空欄の場合は周囲の構図を継続,비워 두면 주변 구도를 이어서 생성,留空则延续周围画面
build.rebuildHidden,Rebuild hidden background,隠れた背景を再構築,가려진 배경 재구성,重建隐藏背景
build.rebuildHiddenHelp,Use confirmed object masks plus an optional extra hole mask.,確定済みオブジェクトマスクと、任意の追加ホールマスクを使用します。,확인된 오브젝트 마스크와 선택적 추가 홀 마스크를 사용합니다.,使用已确认的对象蒙版和可选的额外孔洞蒙版。
build.editHole,Edit hole mask,ホールマスクを編集,홀 마스크 편집,编辑孔洞蒙版
build.addHole,Add hole mask,ホールマスクを追加,홀 마스크 추가,添加孔洞蒙版
build.layerUnavailable,Layer inpainting unavailable: {{detail}}.,レイヤーインペイントを使用できません：{{detail}}。,레이어 인페인팅을 사용할 수 없습니다: {{detail}}.,图层修补不可用：{{detail}}。
build.confirmMasks_one,Confirm 1 mask,1 個のマスクを確定,마스크 1개 확인,确认 1 个蒙版
build.confirmMasks_other,Confirm {{count}} masks,{{count}} 個のマスクを確定,마스크 {{count}}개 확인,确认 {{count}} 个蒙版
build.confirmMasksTitle,Confirm every enabled foreground mask at once,有効な前景マスクをまとめて確定します,활성화된 모든 전경 마스크를 한 번에 확인합니다,一次性确认所有已启用的前景蒙版
build.rebuildBackground,Rebuild background,背景を再構築,배경 재구성,重新构建背景
build.inpaintHoles,Inpaint holes,穴をインペイント,홀 인페인트,修补孔洞
inspector.title,Layer inspector,レイヤーインスペクター,레이어 인스펙터,图层检查器
inspector.emptyTitle,Objects appear here,オブジェクトはここに表示されます,오브젝트가 여기에 표시됩니다,对象将在此处显示
inspector.emptyDetail,"After analysis, choose foreground cutouts and tune their depth.",解析後に前景カットアウトを選択し、奥行きを調整します。,분석 후 전경 컷아웃을 선택하고 깊이를 조정하세요.,分析完成后，选择前景剪切图并调整其深度。
layers.proposals,Proposals,候補,제안,建议
layers.sceneStack,Scene stack,シーンスタック,장면 스택,场景堆栈
layers.foregroundCount_one,1 foreground layer,前景レイヤー 1 個,전경 레이어 1개,1 个前景图层
layers.foregroundCount_other,{{count}} foreground layers,前景レイヤー {{count}} 個,전경 레이어 {{count}}개,{{count}} 个前景图层
layers.onCount,{{count}} on,{{count}} 個オン,{{count}}개 켜짐,已启用 {{count}} 个
layers.selectingHelp,"Edit rough proposals, optionally refine their alpha, then confirm every enabled foreground mask.",ラフ候補を編集し、必要に応じてアルファを調整してから、有効な前景マスクをすべて確定します。,러프 제안을 편집하고 필요하면 알파를 다듬은 뒤 활성화된 모든 전경 마스크를 확인하세요.,编辑粗略建议，可选择优化透明度，然后确认每个已启用的前景蒙版。
layers.selectionControls,Layer selection controls,レイヤー選択コントロール,레이어 선택 컨트롤,图层选择控件
layers.selectionCount_one,1 selected,1 個選択中,1개 선택됨,已选择 1 个
layers.selectionCount_other,{{count}} selected,{{count}} 個選択中,{{count}}개 선택됨,已选择 {{count}} 个
layers.selectionHint,"Click layers to add or remove them from the selection.",レイヤーをクリックして選択に追加または削除します。,레이어를 클릭해 선택에 추가하거나 제거하세요。,点击图层即可加入或移出选择。
layers.toggleSelected,Toggle selected,選択項目を切り替え,선택 항목 전환,切换所选
layers.mergeSelected,Merge selected,選択項目を結合,선택 항목 병합,合并所选
layers.clearSelection,Clear,クリア,지우기,清除
layers.mergeRequiresMultiple,Select at least two layers to merge.,結合するレイヤーを 2 つ以上選択してください。,병합할 레이어를 두 개 이상 선택하세요.,至少选择两个图层才能合并。
layers.merging,Merging...,結合中...,병합 중...,正在合并...
layers.undoMerge,Undo,元に戻す,실행 취소,撤销
layers.redoMerge,Redo,やり直す,다시 실행,重做
layers.undoMergeTitle,Undo the last layer change (Ctrl+Z),最後のレイヤー変更を元に戻す (Ctrl+Z),마지막 레이어 변경 실행 취소 (Ctrl+Z),撤销上一次图层更改 (Ctrl+Z)
layers.redoMergeTitle,Redo the last layer change (Ctrl+Y or Ctrl+Shift+Z),最後のレイヤー変更をやり直す (Ctrl+Y または Ctrl+Shift+Z),마지막 레이어 변경 다시 실행 (Ctrl+Y 또는 Ctrl+Shift+Z),重做上一次图层更改 (Ctrl+Y 或 Ctrl+Shift+Z)
